Parsing loop	Parsende Schleife
variant type	Variantentyp
build	Version
for consistency	aus Konsistenzgründen
breakpoint	Haltepunkt
field	Objektelement	in Bezug auf auf Objekte
sub-expression	Teilausdruck
at load-time	beim Laden des Skripts
breaking change	gravierende Änderung	Änderungen, die die Funktionsweise eines Skripts unerwartet ändern können
unescaped	escapezeichenlos
escaped	escapezeichenversehen
quoted	in Anführungszeichen gesetzt
literal	direkt geschrieben
key-down	Drücken
key-up	Loslassen
warning dialog	Warndialogfenster
error dialog	Fehlerdialogfenster
common source of confusion	häufiger Anlass zu Verwirrung
for consistency with	um gleichzuziehen mit
prefix	das Präfix
suffix	das Suffix
event handler	Ereignishandler
interval	das Intervall
subpattern	Teilsuchmuster
pixel	das Pixel
X Y coordinates	X- und Y-Koordinate
tooltip	der Tooltip
